INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "1572359"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.306786, acc = 0.1016:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.373159, acc = 0.1133:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.079045, acc = 0.2011:  15%|█▌        | 60/391 [00:04<00:21, 15.28it/s]
Epoch 0 train | loss = 2.079045, acc = 0.2011:  16%|█▌        | 62/391 [00:04<00:21, 15.28it/s]
Epoch 0 train | loss = 2.076656, acc = 0.2018:  16%|█▌        | 62/391 [00:04<00:21, 15.28it/s]
Epoch 0 train | loss = 2.074579, acc = 0.2023:  16%|█▌        | 62/391 [00:04<00:21, 15.28it/s]
Epoch 0 train | loss = 2.074579, acc = 0.2023:  16%|█▋        | 64/391 [00:04<00:21, 15.08it/s]
Epoch 0 train | loss = 2.070711, acc = 0.2030:  16%|█▋        | 64/391 [00:04<00:21, 15.08it/s]
Epoch 0 train | loss = 2.067092, acc = 0.2043:  16%|█▋        | 64/391 [00:04<00:21, 15.08it/s]
Epoch 0 train | loss = 2.067092, acc = 0.2043:  17%|█▋        | 66/391 [00:04<00:21, 15.19it/s]
Epoch 0 train | loss = 2.065075, acc = 0.2046:  17%|█▋        | 66/391 [00:04<00:21, 15.19it/s]
Epoch 0 train | loss = 2.062436, acc = 0.2054:  17%|█▋        | 66/391 [00:04<00:21, 15.19it/s]
Epoch 0 train | loss = 2.062436, acc = 0.2054:  17%|█▋        | 68/391 [00:04<00:21, 15.12it/s]
Epoch 0 train | loss = 2.061252, acc = 0.2060:  17%|█▋        | 68/391 [00:04<00:21, 15.12it/s]
Epoch 0 train | loss = 2.061034, acc = 0.2061:  17%|█▋        | 68/391 [00:04<00:21, 15.12it/s]
Epoch 0 train | loss = 2.061034, acc = 0.2061:  18%|█▊        | 70/391 [00:04<00:21, 14.95it/s]
Epoch 0 train | loss = 2.060460, acc = 0.2064:  18%|█▊        | 70/391 [00:04<00:21, 14.95it/s]
Epoch 0 train | loss = 2.059765, acc = 0.2068:  18%|█▊        | 70/391 [00:04<00:21, 14.95it/s]
