INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "hi_from_fileobserver"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.302111, acc = 0.1250:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.300327, acc = 0.1289:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.177083, acc = 0.1656:  20%|██        | 79/391 [00:02<00:09, 31.66it/s]
Epoch 0 train | loss = 2.175437, acc = 0.1665:  20%|██        | 79/391 [00:02<00:09, 31.66it/s]
Epoch 0 train | loss = 2.175437, acc = 0.1665:  21%|██        | 83/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.173041, acc = 0.1673:  21%|██        | 83/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.172815, acc = 0.1678:  21%|██        | 83/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.171548, acc = 0.1683:  21%|██        | 83/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.170694, acc = 0.1689:  21%|██        | 83/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.170694, acc = 0.1689:  22%|██▏       | 87/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.168948, acc = 0.1695:  22%|██▏       | 87/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.166886, acc = 0.1706:  22%|██▏       | 87/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.165811, acc = 0.1707:  22%|██▏       | 87/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.164450, acc = 0.1704:  22%|██▏       | 87/391 [00:02<00:09, 31.58it/s]
Epoch 0 train | loss = 2.164450, acc = 0.1704:  23%|██▎       | 91/391 [00:02<00:09, 31.55it/s]
Epoch 0 train | loss = 2.162918, acc = 0.1702:  23%|██▎       | 91/391 [00:03<00:09, 31.55it/s]
Epoch 0 train | loss = 2.161166, acc = 0.1705:  23%|██▎       | 91/391 [00:03<00:09, 31.55it/s]
Epoch 0 train | loss = 2.160163, acc = 0.1702:  23%|██▎       | 91/391 [00:03<00:09, 31.55it/s]
Epoch 0 train | loss = 2.158490, acc = 0.1701:  23%|██▎       | 91/391 [00:03<00:09, 31.55it/s]
Epoch 0 train | loss = 2.158490, acc = 0.1701:  24%|██▍       | 95/391 [00:03<00:09, 31.61it/s]
Epoch 0 train | loss = 2.157497, acc = 0.1702:  24%|██▍       | 95/391 [00:03<00:09, 31.61it/s]
Epoch 0 train | loss = 2.155734, acc = 0.1699:  24%|██▍       | 95/391 [00:03<00:09, 31.61it/s]
Epoch 0 train | loss = 2.154579, acc = 0.1704:  24%|██▍       | 95/391 [00:03<00:09, 31.61it/s]
Epoch 0 train | loss = 2.152187, acc = 0.1706:  24%|██▍       | 95/391 [00:03<00:09, 31.61it/s]
Epoch 0 train | loss = 2.152187, acc = 0.1706:  25%|██▌       | 99/391 [00:03<00:09, 30.75it/s]
Epoch 0 train | loss = 2.151067, acc = 0.1710:  25%|██▌       | 99/391 [00:03<00:09, 30.75it/s]
Epoch 0 train | loss = 2.149509, acc = 0.1717:  25%|██▌       | 99/391 [00:03<00:09, 30.75it/s]
Epoch 0 train | loss = 2.148763, acc = 0.1718:  25%|██▌       | 99/391 [00:03<00:09, 30.75it/s]
Epoch 0 train | loss = 2.146868, acc = 0.1723:  25%|██▌       | 99/391 [00:03<00:09, 30.75it/s]
Epoch 0 train | loss = 2.146868, acc = 0.1723:  26%|██▋       | 103/391 [00:03<00:10, 28.08it/s]
Epoch 0 train | loss = 2.145385, acc = 0.1727:  26%|██▋       | 103/391 [00:03<00:10, 28.08it/s]
Epoch 0 train | loss = 2.143197, acc = 0.1737:  26%|██▋       | 103/391 [00:03<00:10, 28.08it/s]
Epoch 0 train | loss = 2.141218, acc = 0.1745:  26%|██▋       | 103/391 [00:03<00:10, 28.08it/s]
Epoch 0 train | loss = 2.141218, acc = 0.1745:  27%|██▋       | 106/391 [00:03<00:10, 28.37it/s]
Epoch 0 train | loss = 2.140110, acc = 0.1747:  27%|██▋       | 106/391 [00:03<00:10, 28.37it/s]
